date,LineItem,quantity,price,discounts,netTotal,purchaseNumber,daysSinceLastPurch,quantity_364,price_364,discounts_364,netTotal_364,quantity_28,price_28,discounts_28,netTotal_28,quantity_7,price_7,discounts_7,netTotal_7
2018-01-09,Lamb Chops,13,8,0,103,1.7692307692307692,53916.92307692308,13,10,2,109,11,8,0,87,5,11,2,47
2018-01-09,Naan,17,2,0,36,4.235294117647059,41286.58823529412,27,2,0,57,15,2,0,38,13,2,0,30
2018-01-09,Rice,8,2,0,16,2.875,75020.875,16,2,0,39,11,2,0,22,8,2,0,24
2018-01-09,Salmon and Wheat Bran Salad,72,12,1,836,8.071428571428571,52923.05714285714,58,12,0,653,68,12,0,763,67,12,0,767
2018-01-09,Yogurt,21,3,0,69,1.9523809523809523,71495.28571428571,15,3,0,50,25,3,0,98,22,3,0,71
2018-01-10,Aubergine and Chickpea Vindaloo,1,4,0,4,2,442,4,4,0,14,3,4,0,10,4,4,0,13
2018-01-10,Beef and Apple Burgers,24,10,1,217,3.75,41771.333333333336,21,12,1,222,21,16,2,292,23,10,1,211
2018-01-10,Beef and Broccoli,31,7,2,188,3.357142857142857,43016.57142857143,13,19,1,230,31,12,1,296,10,11,0,105
2018-01-10,Beef and Broccoli Stir Fry,11,10,0,110,5.3,30076.4,11,10,0,108,7,10,0,70,5,10,0,50
2018-01-10,Beef and Squash Kabob,20,7,0,169,2.7222222222222223,83344.88888888889,28,7,0,242,31,7,0,265,21,7,1,156
2018-01-10,Chicken and Onion Kabob,41,10,1,439,3.3846153846153846,51419.769230769234,49,10,0,541,47,10,1,482,48,10,0,540
2018-01-10,Chutney,13,2,1,42,6.636363636363637,63662.36363636364,18,2,0,54,9,2,1,32,6,2,0,14
2018-01-10,Coconut and Beef Vindaloo,6,4,1,18,1.8,60032.8,8,4,0,28,13,4,0,45,8,4,0,28
2018-01-10,Fountain Drink,21,2,0,40,3.823529411764706,29534.176470588234,29,2,0,56,41,2,1,67,33,2,0,65
2018-01-10,Lamb and Veggie Kabob,5,8,2,39,3.6,40062.6,13,8,1,111,15,8,2,121,3,8,0,28
2018-01-10,Lamb Chops,10,7,0,74,4.5,30270.8,12,9,2,85,15,8,2,91,9,8,0,72
2018-01-10,Naan,15,2,0,32,3.0833333333333335,25215.25,12,2,0,36,10,2,0,38,14,2,0,30
2018-01-10,Rice,7,2,0,14,2.7142857142857144,28772.428571428572,17,2,0,50,13,2,0,61,8,2,0,16
2018-01-10,Salmon and Wheat Bran Salad,83,12,1,866,4.446153846153846,44726.63076923077,92,14,1,1299,72,18,1,1151,73,12,1,840
2018-01-10,Yogurt,32,3,0,128,3.5185185185185186,48224.40740740741,35,3,0,156,32,3,1,151,26,3,0,85
2018-01-11,Aubergine and Chickpea Vindaloo,13,4,0,42,3.727272727272727,54631.818181818184,8,4,0,28,4,4,0,14,6,4,0,21
2018-01-11,Beef and Apple Burgers,33,13,1,387,2.393939393939394,54615.666666666664,35,11,0,392,28,17,0,487,29,13,0,358
2018-01-11,Beef and Broccoli,17,21,0,350,3.6470588235294117,41227.117647058825,22,18,12,145,20,12,0,191,14,15,0,207
2018-01-11,Beef and Broccoli Stir Fry,15,10,0,150,2.2857142857142856,64315.78571428572,8,10,0,82,9,10,0,87,15,10,0,147
2018-01-11,Beef and Squash Kabob,21,7,1,164,2.05,60136.2,34,7,1,276,27,7,0,230,30,7,0,258
2018-01-11,Chicken and Onion Kabob,50,10,1,523,8.418604651162791,30343.53488372093,55,10,1,587,43,10,0,479,37,10,0,414
2018-01-11,Chutney,19,2,0,56,2.4444444444444446,50053.11111111111,16,2,1,43,9,2,0,34,14,2,0,40
2018-01-11,Coconut and Beef Vindaloo,6,4,0,19,1.8,40181.2,14,4,0,45,2,4,0,7,7,4,0,24
2018-01-11,Fountain Drink,43,2,0,84,3.1724137931034484,41452.8275862069,48,2,0,94,36,2,0,72,22,2,0,43
2018-01-11,Lamb and Veggie Kabob,8,8,0,78,7,37574.625,15,8,2,120,8,8,0,74,12,8,1,104
2018-01-11,Lamb Chops,15,12,0,176,2.6,53381.8,13,11,0,146,12,11,0,121,13,9,0,112
2018-01-11,Naan,13,2,0,36,1.7692307692307692,46251.53846153846,23,2,0,53,17,2,0,50,18,2,0,48
2018-01-11,Rice,17,2,0,48,2,64750.64705882353,19,2,1,41,13,2,0,44,10,2,0,28
2018-01-11,Salmon and Wheat Bran Salad,91,14,0,1221,3.7444444444444445,45644.61111111111,86,12,1,960,68,13,0,852,75,13,0,968
2018-01-11,Yogurt,37,3,0,163,3.342857142857143,45829.77142857143,34,3,0,127,23,3,0,107,24,3,0,92
2018-01-12,Aubergine and Chickpea Vindaloo,7,4,0,24,1.75,50090.25,12,4,0,38,20,4,0,70,10,4,0,35
2018-01-12,Beef and Apple Burgers,41,11,1,427,5.7560975609756095,70864.09756097561,33,12,1,365,40,12,0,463,33,13,1,388
2018-01-12,Beef and Broccoli,22,8,0,177,1.6363636363636365,72826.68181818182,25,6,0,155,39,8,0,441,25,9,0,214
2018-01-12,Beef and Broccoli Stir Fry,24,10,0,240,2.4583333333333335,41824.75,17,10,1,162,21,10,0,207,25,10,0,240
2018-01-12,Beef and Squash Kabob,33,7,0,289,3.129032258064516,61328.12903225807,57,7,0,478,38,7,0,328,40,7,1,322
2018-01-12,Chicken and Onion Kabob,68,10,0,774,4.362068965517241,50053.1724137931,76,10,0,832,62,10,0,690,69,10,1,740
2018-01-12,Chutney,18,2,0,46,2.764705882352941,58994.470588235294,23,2,0,44,17,2,0,47,18,2,0,64
2018-01-12,Coconut and Beef Vindaloo,21,4,0,66,2.4444444444444446,66705.05555555556,7,4,0,24,8,4,0,28,11,4,0,38
2018-01-12,Fountain Drink,41,2,0,77,11.037037037037036,48272.62962962963,60,2,0,117,42,2,0,83,58,2,0,108
2018-01-12,Lamb and Veggie Kabob,10,8,0,92,6.2,20172.3,19,8,1,158,17,8,0,161,17,8,1,153
2018-01-12,Lamb Chops,23,13,0,288,6.173913043478261,30671.91304347826,18,7,0,129,38,10,0,522,16,13,0,210
2018-01-12,Naan,24,2,0,68,2.9047619047619047,28795.904761904763,24,2,0,50,28,2,0,76,33,2,0,78
2018-01-12,Rice,29,2,0,72,2.56,52118.56,26,2,0,55,20,2,0,54,23,2,0,52
2018-01-12,Salmon and Wheat Bran Salad,113,12,1,1319,5.972477064220183,47809.95412844037,145,12,1,1595,141,12,0,1949,102,12,1,1185
2018-01-12,Yogurt,43,3,0,156,8.209302325581396,62909.79069767442,44,3,0,167,28,3,0,122,43,3,0,157
2018-01-13,Aubergine and Chickpea Vindaloo,7,4,0,24,3.6,40243.8,13,4,0,46,15,4,0,52,10,4,0,35
2018-01-13,Beef and Apple Burgers,26,15,0,386,4.730769230769231,50137.03846153846,29,14,1,360,40,13,0,519,38,12,1,426
2018-01-13,Beef and Broccoli,17,9,0,148,2.5294117647058822,64771.35294117647,27,8,0,211,17,24,0,407,25,8,0,233
2018-01-13,Beef and Broccoli Stir Fry,20,10,0,200,2,70038.7,18,10,1,168,20,10,1,191,24,10,0,237
2018-01-13,Beef and Squash Kabob,52,7,0,431,2.2884615384615383,73146.51923076923,32,7,0,273,53,7,0,462,47,7,0,403
2018-01-13,Chicken and Onion Kabob,69,10,1,717,2.265625,68819.65625,64,10,0,705,51,10,0,552,81,10,0,876
2018-01-13,Chutney,18,2,0,52,4.0588235294117645,70700.76470588235,21,2,0,56,22,2,0,60,21,2,0,45
2018-01-13,Coconut and Beef Vindaloo,6,4,0,21,2.2,80124.2,12,4,0,38,11,4,0,38,11,4,0,38
2018-01-13,Fountain Drink,52,2,0,103,3.142857142857143,57231.71428571428,57,2,0,113,58,2,0,115,40,2,0,79
2018-01-13,Lamb and Veggie Kabob,13,8,0,119,2.230769230769231,53916.07692307692,6,8,0,55,17,8,0,162,14,8,0,130
2018-01-13,Lamb Chops,29,9,0,263,5.241379310344827,48456.41379310345,19,10,0,174,16,14,0,229,15,9,1,123
2018-01-13,Naan,16,2,0,38,6.3125,31440.75,23,2,0,55,36,2,0,112,11,2,0,22
2018-01-13,Rice,23,2,0,64,3.1739130434782608,56651,22,2,0,54,21,2,0,62,35,2,0,82
2018-01-13,Salmon and Wheat Bran Salad,110,13,0,1428,5.074766355140187,55239.57943925234,103,13,1,1238,120,17,0,2043,123,12,0,1571
2018-01-13,Yogurt,58,3,0,233,3.0555555555555554,64930.87037037037,45,3,0,177,44,3,0,191,37,3,1,137
2018-01-15,Aubergine and Chickpea Vindaloo,4,4,0,14,2.3333333333333335,33366.666666666664,9,4,0,28,1,4,0,4,7,4,0,24
2018-01-15,Beef and Apple Burgers,23,13,1,285,2.4347826086956523,56582.95652173913,30,15,0,433,25,15,2,345,20,17,0,336
2018-01-15,Beef and Broccoli,18,9,0,197,1.3076923076923077,76956.23076923077,15,12,0,174,13,9,0,112,18,10,0,168
